country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,area,landlocked,continent,langoff_1,population,gdp_per_capita,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows
TON,437006227.2,-1.05399832,1.171888256,748,0,Pacific,Tongan,100780.0,4336.239603,16.8686027,15.49235067,51.9443399,113.6042878,6349155.28
TTO,25062893969.0,4.661215981,1.823184697,5130,0,America,English,1370332.0,18214.46062,1.054221977,39.13317712,80.05253796,138.8331324,176829744.9
TUN,43173480832.0,4.437371273,1.194541753,164150,0,Africa,Arabic,11179951.0,3861.6924,10.28270429,24.98307931,79.43292698,104.2863638,970521888.7
TUR,864314287106.0,7.670853648,6.0844869,780576,0,Europe,Turkish,78529413.0,11006.27952,6.868375345,27.83434929,42.18372878,98.25700289,19263000000.0
TUR,864314287106.0,7.670853648,6.0844869,780576,0,Europe,Turkish,78529413.0,11006.27952,6.868375345,27.83434929,42.18372878,98.25700289,19263000000.0
TZA,47378599025.0,5.58816953,6.160628774,945090,0,Africa,English,51482638.0,947.9333517,26.74588573,24.48735011,32.97480365,158.1840025,1506024896.0
TZA,47378599025.0,5.58816953,6.160628774,945090,0,Africa,English,51482638.0,947.9333517,26.74588573,24.48735011,32.97480365,158.1840025,1506024896.0
UGA,32248116584.0,5.410004196,5.187859863,241038,1,Africa,English,38225447.0,843.6295453,23.63931779,26.3940037,24.17195437,117.5015338,737652140.2
UKR,91030959455.0,48.69986464,-9.772960791,603677,0,Europe,Ukrainian,45154036.0,2124.662319,12.05937611,21.72795774,83.09700398,83.58724924,-369000000.0
URY,53274304222.0,8.666269871,0.3707412563,176215,0,America,Spanish,3412013.0,15613.74597,6.131441946,25.44175806,32.24256093,117.3336141,2673041339.0
